material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
Ag-aSi,exp2,1,4,105.70068064645515,0.00024970569347119873,49.177205972660985,6.591690024989532
Ag-aSi,exp2,1,5,105.70068064645515,0.0002495702256900702,49.580986553669014,6.634766736470464
Ag-aSi,exp2,1,6,105.70068064645515,0.00024959182453650273,49.52742993026797,6.635871292608657
Ag-aSi,exp2,1,7,105.70068064645515,0.00024976432929795726,48.99722099834631,6.570415990203919
Ag-aSi,exp2,1,8,105.70068064645515,0.00024953390818613553,49.704069569074285,6.656358749427808
Ag-aSi,exp2,1,9,105.70068064645515,0.0002498808868434519,44.93500837581385,6.067078406645589
Ag-aSi,exp2,50,1,167.54679232276095,0.00041284117848958645,0.9482698753064821,0.165826527869676
Ag-aSi,exp2,50,10,171.6879923227609,0.00042024411132748094,0.22768749824537152,0.04538637739988616
Ag-aSi,exp2,50,2,171.53559232276115,0.0004205822692404012,2.480214226569436,0.5208970422913453
Ag-aSi,exp2,50,3,170.35131232276103,0.0004189375377687387,0.19604842574186343,0.04185088407690074
Ag-aSi,exp2,50,4,168.16395232276082,0.000415587755605548,0.16339388001687244,0.03852284348370816
Ag-aSi,exp2,50,5,167.1241523227608,0.00041299367443841186,0.905641905738137,0.1594443224802653
Ag-aSi,exp2,50,6,160.72503232276085,0.0003923747635701964,2.0029997088121743,0.3054852918214621
Ag-aSi,exp2,50,7,169.24119232276107,0.00041764512219461414,0.24612216246653865,0.05178903475057339
Ag-aSi,exp2,50,8,176.1120323227611,0.0004329709646336286,2.251920366940098,0.49041059480839877
Ag-aSi,exp2,50,9,168.16395232276082,0.0004155871746730734,0.16339388001687244,0.03852284348370816
Ag-aSi,exp3,100,1,455.8483513822766,0.0021037810047518247,0.10836091688499917,0.028785659184489276
Ag-aSi,exp3,100,10,439.35660138227786,0.002068916278939389,0.798352119604574,0.15919696857831056
Ag-aSi,exp3,100,2,455.41380138227566,0.0021106493192657306,1.2425525233095656,0.360922472852824
Ag-aSi,exp3,100,3,478.6623013822772,0.00210904563439143,2.4329379363279373,0.5195453536150687
Ag-aSi,exp3,100,4,459.66270138227515,0.0021149664304222124,0.17867388682394036,0.04001005522670553
Ag-aSi,exp3,100,5,484.4326513822762,0.0022155082952651515,1.7904192580643723,0.4393321746945631
Ag-aSi,exp3,100,6,475.66395138227534,0.0021642668437922077,0.5062370446172876,0.07705068032417728
Ag-aSi,exp3,100,7,557.9136013822803,0.002114961310727943,0.31992062911206537,0.06031717029450334
Ag-aSi,exp3,100,8,457.56300138227806,0.002120537843657895,0.8606042155228346,0.15245076509430433
Ag-aSi,exp3,100,9,463.38495138227756,0.0021141469578275524,0.2537986774141361,0.05797417082742484
Ag-aSi,exp3,1,1,280.777053013822,0.0012432343033184363,44.93156422836575,6.067985078637246
Ag-aSi,exp3,1,10,280.777053013822,0.0012418031873363425,49.51653000267009,6.634523578224066
Ag-aSi,exp3,1,2,280.777053013822,0.0012418015273469405,49.51653000267009,6.634523578224066
Ag-aSi,exp3,1,3,280.777053013822,0.0012412264498363908,49.87362342069765,6.678154536928732
Ag-aSi,exp3,1,4,280.777053013822,0.0012412279332408124,49.87362342069765,6.678154536928732
Ag-aSi,exp3,1,5,280.777053013822,0.0012426584939321974,48.98931786444087,6.569445319252921
Ag-aSi,exp3,1,6,280.777053013822,0.0012420789722324109,49.347600882488834,6.614161149667073
Ag-aSi,exp3,1,7,280.777053013822,0.0012423721811993377,49.17126878609335,6.591654583237423
Ag-aSi,exp3,1,8,280.777053013822,0.0012450100718464448,43.761927608245735,5.925796580594625
Ag-aSi,exp3,1,9,280.777053013822,0.0012432334940191954,44.93156422836575,6.067985078637246
Ag-aSi,exp3,50,1,441.929700691136,0.0020527486234887876,1.132409000311293,0.19504809181181315
Ag-aSi,exp3,50,10,451.0578006911377,0.0020727050802200587,0.2616203208895849,0.05004780707108836
Ag-aSi,exp3,50,2,490.063950691141,0.0020918225043368923,0.692061278748601,0.10098697189696537
Ag-aSi,exp3,50,3,501.9630006911402,0.0020977083110197553,0.5572505813423324,0.08715909887160578
Ag-aSi,exp3,50,4,449.4237006911394,0.002068213887108357,2.24200145670321,0.4966017491933421
Ag-aSi,exp3,50,5,434.58705069113813,0.0019366624494157767,0.5885577948876267,0.09812359313755437
Ag-aSi,exp3,50,6,449.1319506911389,0.0020733282485205246,0.10819372311384577,0.028645866319319424
Ag-aSi,exp3,50,7,454.3011006911372,0.0020875824822780263,0.18370056563161494,0.038580635527289076
Ag-aSi,exp3,50,8,453.40290069114013,0.0020882081178788528,0.10456925168032044,0.0367419932648545
Ag-aSi,exp3,50,9,502.2928506911406,0.0020973412835029086,0.42273603885632266,0.0764818930660276
Ag-aSi,exp4,100,1,11568.539927595537,0.21621850279869342,18.348367782468063,6.601920478178147
Ag-aSi,exp4,100,2,11724.723615830835,0.2163996685548323,12.327098629992953,4.708394585066374
Ag-aSi,exp4,100,3,11586.393739360206,0.21520209856059572,11.407502812990925,6.859734905723977
Ag-aSi,exp4,100,4,11629.959527595534,0.21684865937407677,271.5197266413723,9.62555320778352
Ag-aSi,exp4,100,5,11879.981398183794,0.2173986827862802,278.30532957726217,9.345830253629842
AlOx-HfO2,exp1,100,1,14.243092397049244,0.002842595915805196,4.33807693756857,0.6487763214009483
AlOx-HfO2,exp1,100,10,13.929532397049238,0.0027388211897263013,5.085195428839965,0.7764949204284726
AlOx-HfO2,exp1,100,2,13.932562397049244,0.002734786913599829,5.0113693185466115,0.7767142077676468
AlOx-HfO2,exp1,100,3,13.923322397049247,0.0027385044188226034,4.433727276231862,0.6538901154805181
