material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,21,35,15485696.447584435,39.75566216511621,0.014041315521971765,0.013830742678955007
Ag-aSi,exp1,21,36,15628422.37603371,40.021435397231656,0.00764011247257922,0.007634405673361479
Ag-aSi,exp1,21,37,15647986.802861331,40.047039398300704,0.0022946434133221086,0.002085853727370684
Ag-aSi,exp1,21,38,15747270.972830545,40.24531707485116,0.0061770467104895815,0.005674351971792259
Ag-aSi,exp1,21,39,15624155.861086074,40.048875608589896,0.016278916749931392,0.016102032147434053
Ag-aSi,exp1,21,4,15616902.835892115,40.02671125937788,0.015037448311732638,0.015026851217599493
Ag-aSi,exp1,21,40,15468486.190079847,39.66439935511593,0.01932848005770049,0.018837352228347454
Ag-aSi,exp1,21,41,15637740.498738289,40.05449295382052,0.01017909406011658,0.01017600271396109
Ag-aSi,exp1,21,42,15640279.067842927,40.07353485128247,0.0132413261312466,0.013039614912755437
Ag-aSi,exp1,21,43,15627756.426978381,40.017060303093004,0.005757025480808579,0.0055567586895477845
Ag-aSi,exp1,21,44,15486223.914119916,39.74598606512244,0.012134157772796826,0.011932229423910727
Ag-aSi,exp1,21,45,15628151.914661353,40.028605042303994,0.008913090646542648,0.008908596514990045
Ag-aSi,exp1,21,46,16693285.45790717,42.9068164331892,0.011377233656082616,0.011375463178064756
Ag-aSi,exp1,21,47,15628151.914661353,40.02860504114396,0.008913090646542648,0.008908596514990045
Ag-aSi,exp1,21,48,15455320.70033529,39.675458046773464,0.009138455899995672,0.008932017357669603
Ag-aSi,exp1,21,49,15647680.6392552,40.06678548536441,0.010149727016714488,0.008377300345874899
Ag-aSi,exp1,21,5,15634724.37408918,40.05456365841811,0.011413990707443354,0.011411574334570797
Ag-aSi,exp1,21,50,15632782.482876796,40.05281271446573,0.011818058870778983,0.011616089827047465
Ag-aSi,exp1,21,51,15640054.021024503,40.060029799540814,0.010800910074191974,0.010603482710987908
Ag-aSi,exp1,21,52,15463836.000452274,39.66751567095644,0.0032074538848878074,0.002715422341011366
Ag-aSi,exp1,21,53,15616561.341710638,39.98071987586895,0.0038627353583564933,0.0038361772168224043
Ag-aSi,exp1,21,54,15632477.571572114,40.039940563173154,0.010137724365134585,0.009570402384035986
Ag-aSi,exp1,21,55,15627022.57646747,40.00597081657475,0.00233553765752895,0.0021284214898044593
Ag-aSi,exp1,21,56,15913998.476436768,40.59720439785962,0.017984747932720403,0.01748672893640919
Ag-aSi,exp1,21,57,15464787.002815237,39.692760179139604,0.008394542770688572,0.0081868663019825
Ag-aSi,exp1,21,58,15619288.514926065,40.02179454917842,0.012627443017176176,0.012437463156035297
Ag-aSi,exp1,21,59,15630909.977972053,40.03181553658724,0.007638199354359672,0.007632796595991887
Ag-aSi,exp1,21,6,15635097.329353688,40.02934832829346,0.003859245890368832,0.0036501321914041655
Ag-aSi,exp1,21,60,15618374.252630647,40.03788649533181,0.016496813055947978,0.01649360688988942
Ag-aSi,exp1,21,61,15629234.830606129,40.04032151252163,0.010790999131650743,0.010589513184904076
Ag-aSi,exp1,21,62,15624155.861086074,40.04887560884921,0.016278916749931392,0.016102032147434053
Ag-aSi,exp1,21,63,15632782.482876796,40.05281271464946,0.011818058870778983,0.011616089827047465
Ag-aSi,exp1,21,64,15596714.253950635,39.9435184781571,0.005132464449230763,0.005125765965850755
Ag-aSi,exp1,21,65,15630909.977972053,40.031815536051774,0.007638199354359672,0.007632796595991887
Ag-aSi,exp1,21,66,15632399.589996811,40.03192314375893,0.007629531295279106,0.00762378028010961
Ag-aSi,exp1,21,67,15637740.498738289,40.054492951976,0.01017909406011658,0.01017600271396109
Ag-aSi,exp1,21,68,15626107.945956828,40.010895338603014,0.006383817616603655,0.006377967570348239
Ag-aSi,exp1,21,69,15466655.879944535,39.72001348829555,0.016508299102475643,0.01650484096467916
Ag-aSi,exp1,21,7,15634268.678759916,40.04652856816992,0.008936097438828635,0.00893222054289561
Ag-aSi,exp1,21,70,15637328.778332138,40.051645324367946,0.010159827842119329,0.010156890090428047
Ag-aSi,exp1,21,71,15624941.995449083,40.017949936756054,0.007646373562137668,0.007641127839979252
Ag-aSi,exp1,21,72,15549380.74092903,39.858246713881705,0.010000843029272123,0.007174860030578431
Ag-aSi,exp1,21,73,15646382.788790626,40.06290743605963,0.0044598350341918235,0.004248187775012176
Ag-aSi,exp1,21,74,15632544.502605977,40.037270607814946,0.010143668457596141,0.0101406683347629
Ag-aSi,exp1,21,75,15633671.417824462,40.03138974574683,0.004519499784720783,0.004309679967157246
Ag-aSi,exp1,21,76,15622411.552338313,39.99653503611264,0.005144295098298523,0.005137784995980723
Ag-aSi,exp1,21,77,15389843.888298323,39.52022791363367,0.001378829169249442,0.001350799969984135
Ag-aSi,exp1,21,78,15516537.214901509,39.78430684488808,0.006386322089864527,0.0045816356246423506
Ag-aSi,exp1,21,79,15664734.383436736,40.101149533603866,0.0035331389750399033,0.0033198457206572913
Ag-aSi,exp1,21,8,15620136.866861349,40.012958502002775,0.010151320560628114,0.010148263703764478
Ag-aSi,exp1,21,80,15632399.589996811,40.031923143745566,0.007629531295279106,0.00762378028010961
Ag-aSi,exp1,21,81,15627498.972055245,40.015667477460696,0.0082695569822979,0.005970122754205788
Ag-aSi,exp1,21,82,15650301.617464438,40.05332889271903,0.001987967097769127,0.0017792391613562532
Ag-aSi,exp1,21,83,15657178.581553703,40.08063933138896,0.003036653522164459,0.002824396091294581
Ag-aSi,exp1,21,84,15636968.9957814,40.04652169827609,0.0076392353559005975,0.007633553510728879
Ag-aSi,exp1,21,85,15640054.021024503,40.0600297994823,0.010800910074191974,0.010603482710987908
Ag-aSi,exp1,21,86,15634724.374089181,40.054563658742985,0.011413990707443354,0.011411574334570797
Ag-aSi,exp1,21,87,15610765.483347462,39.96531819133382,0.0038835788797760866,0.0038570475904258265
Ag-aSi,exp1,21,88,15620136.866861349,40.012958501510546,0.010151320560628114,0.010148263703764478
Ag-aSi,exp1,21,89,15628151.914661352,40.02860504221353,0.008913090646542648,0.008908596514990045
Ag-aSi,exp1,21,9,15637979.672722941,40.060813315704266,0.012653899732012029,0.012651445380897179
Ag-aSi,exp1,21,90,15627199.823519839,40.012593731066474,0.0063735202461832185,0.006367300777364469
Ag-aSi,exp1,21,91,15626001.17894754,40.00385628526383,0.005120037382101324,0.005113315837676624
Ag-aSi,exp1,21,92,15634724.37408918,40.05456365871741,0.011413990707443354,0.011411574334570797
Ag-aSi,exp1,21,93,15637381.407544458,40.030015167190314,0.002419946902254075,0.0022119662534725725
Ag-aSi,exp1,21,94,23741889.643021937,61.23312645943757,0.012955118602823513,0.012955264227002041
Ag-aSi,exp1,21,95,15624337.462513644,40.023182484587174,0.011228103915600501,0.009566540078836224
Ag-aSi,exp1,21,96,15630974.965836773,40.03955893994603,0.0089392185700643,0.008935574003995531
Ag-aSi,exp1,21,97,15620136.866861349,40.01295850118624,0.010151320560628114,0.010148263703764478
Ag-aSi,exp1,21,98,15640764.862522902,40.06731137990464,0.015242041833908263,0.015237527878895816
Ag-aSi,exp1,21,99,15400287.146639947,39.54108794083797,0.0013795722758556137,0.0013522776469220654
Ag-aSi,exp2,21,1,4619198.400117361,23.779936997186947,0.012475625339719618,0.012159320606075472
Ag-aSi,exp2,21,10,3913173.890821987,20.034833058954725,0.013634710172877863,0.013623717455587376
Ag-aSi,exp2,21,100,3856482.608646594,19.792787900211106,8.464282720676361e-05,5.626586793575953e-05
Ag-aSi,exp2,21,11,3871952.0177789265,19.86094696296781,0.00877389160347763,0.008566579230186644
Ag-aSi,exp2,21,12,3914714.691754277,20.027818959892723,0.0023345304620206596,0.0021279640050809834
Ag-aSi,exp2,21,13,3917987.0186650665,20.052006875819988,0.010184865919373202,0.010181693887000676
Ag-aSi,exp2,21,14,3913515.2289296654,20.018043972927757,0.0029101541634253218,0.002662408380028946
Ag-aSi,exp2,21,15,3856319.7002650904,19.79131544885944,9.899204493822773e-05,7.061153900398166e-05
Ag-aSi,exp2,21,16,3917867.50068662,20.054242443618442,0.011398860860203142,0.011386634304889322
Ag-aSi,exp2,21,17,3914423.3494220003,20.03976231532683,0.008930412877328962,0.008926554950437999
Ag-aSi,exp2,21,18,3868841.610578946,19.85044771587499,0.010104875663781477,0.00989784346612266
Ag-aSi,exp2,21,19,3918274.1809819858,20.05526801344825,0.01142922476669206,0.011417135270348143
Ag-aSi,exp2,21,2,3913618.5057204575,20.022894530388665,0.005157447295589166,0.005150907429961058
Ag-aSi,exp2,21,20,3923732.2251020153,20.058570542425176,0.0022671386889860537,0.002056810789243931
Ag-aSi,exp2,21,21,3917166.365425051,20.051752592531415,0.011425305334567617,0.011412296251113598
Ag-aSi,exp2,21,22,3915639.610714311,20.04490427363989,0.008948557420629884,0.008944247515811587
Ag-aSi,exp2,21,23,3924345.335203554,20.075816471556262,0.0035338616510506467,0.003319384806111714
Ag-aSi,exp2,21,24,3914840.270960454,20.031008331768113,0.006379486969363709,0.006372435883997511
Ag-aSi,exp2,21,25,3949359.035212746,20.162544720155687,0.01705261636242407,0.016556293811500998
Ag-aSi,exp2,21,26,3916484.373477388,20.04047200536765,0.004521192976682414,0.004309848929082315
Ag-aSi,exp2,21,27,3954098.6026496976,20.19439032047279,0.01853632059162433,0.01803735310914325
Ag-aSi,exp2,21,28,3915328.812071226,20.040447986635083,0.0076419944911436865,0.007636281106675028
