material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,11,71,442.3029331520497,0.002044371669034368,0.022403737244158985,0.01013127582846418
Ag-aSi,exp1,11,72,444.38568315204856,0.0020504187263531365,0.002012542141525488,0.0009257035247811502
Ag-aSi,exp1,11,73,449.8102831520512,0.002054561330648659,0.0032144219629937384,0.0020604790833547264
Ag-aSi,exp1,11,74,436.6611331520527,0.0020360396295108435,0.009400878380358194,0.008515691716670269
Ag-aSi,exp1,11,75,451.31853315205115,0.0020516706875138148,0.00392026569218631,0.0021177514474090605
Ag-aSi,exp1,11,76,449.1106831520481,0.002057639753208857,0.060598630086908245,0.04884526101518477
Ag-aSi,exp1,11,77,443.1408331520508,0.002046712064985972,0.0019472483117561703,0.0007655683305020786
Ag-aSi,exp1,11,78,461.9256331520501,0.0020695806340165226,0.06180916555772743,0.05060460795046151
Ag-aSi,exp1,11,79,446.8683331520511,0.002053765941429014,0.002263437219552238,0.001366661795667358
Ag-aSi,exp1,11,8,451.9897831520523,0.0020492266705219213,0.007174985289885189,0.0040950078921957464
Ag-aSi,exp1,11,80,442.3029331520497,0.002044371669034368,0.022403737244158985,0.01013127582846418
Ag-aSi,exp1,11,81,450.1933831520497,0.0020479131974647066,0.0044194125120647415,0.0027075966775595563
Ag-aSi,exp1,11,82,463.23618315204845,0.0020624315356241028,0.06359832644444584,0.051871615518050765
Ag-aSi,exp1,11,83,460.0911331520503,0.002065703220785309,0.06323367954740974,0.051560234562490904
Ag-aSi,exp1,11,84,443.3190331520511,0.0020491441734569126,0.027072873912432974,0.014974306605889864
Ag-aSi,exp1,11,85,451.60848315204953,0.0020537515591269825,0.030821746198293278,0.01869225678268191
Ag-aSi,exp1,11,86,450.2509831520498,0.0020507552698060673,0.02459131700204842,0.011990996225653257
Ag-aSi,exp1,11,87,453.99888315205226,0.002060629103219721,0.03122071489069846,0.01877150727233529
Ag-aSi,exp1,11,88,445.67493315204996,0.002044097327770646,0.00664132003537195,0.005634308331690301
Ag-aSi,exp1,11,89,449.5062331520493,0.002046522686412286,0.003818324760809926,0.0023036879756512855
Ag-aSi,exp1,11,9,445.77423315204845,0.0020486555663438957,0.0028974355863364302,0.0019153395807653662
Ag-aSi,exp1,11,90,427.4406331520523,0.0019080459410360775,0.02585878733795297,0.013467140566683022
Ag-aSi,exp1,11,91,454.83063315204976,0.002053806123406619,0.032578148913387214,0.020491281106807226
Ag-aSi,exp1,11,92,446.91183315204955,0.00204828969592821,0.003748744686228407,0.0021841790877398645
Ag-aSi,exp1,11,93,445.77423315204845,0.0020486555663438957,0.0028974355863364302,0.0019153395807653662
Ag-aSi,exp1,11,94,439.45233315204837,0.002041031878025189,0.023367754230096342,0.011198444699689277
Ag-aSi,exp1,11,95,445.77423315204845,0.0020486555663438957,0.0028974355863364302,0.0019153395807653662
Ag-aSi,exp1,11,96,453.77013315205033,0.0020587076789537924,0.03293867329516775,0.019700140098395456
Ag-aSi,exp1,11,97,480.8010331520511,0.002070861641267143,0.10281112114942395,0.07209961824782629
Ag-aSi,exp1,11,98,453.6070831520486,0.00204769686185077,0.032450283641695235,0.02013417197883793
Ag-aSi,exp1,11,99,449.5062331520493,0.002046522686412286,0.003818324760809926,0.0023036879756512855
Ag-aSi,exp1,13,1,446.1439891796951,0.0020455800163291004,0.03283557895049517,0.02179834944663073
Ag-aSi,exp1,13,10,436.4074891796967,0.002043398234934633,0.021455777010628042,0.009426753272329454
Ag-aSi,exp1,13,100,441.4188391796965,0.001923150326366616,0.0034698190261754575,0.0017352294416249615
