material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
Ag-aSi,exp2,50,2,586.6105506911389,0.002206887300114889,2.6333076238757522,1.1588617876055736,2.2446835041046143
Ag-aSi,exp2,50,3,671.1894006911347,0.00234030335255278,1.2644135129806466,0.3280624796357299,2.2573225498199463
Ag-aSi,exp2,50,4,600.5683506911373,0.0022182242384737173,2.5248051350512557,1.1418793936818943,2.2972257137298584
Ag-aSi,exp2,50,5,629.4309006911353,0.002320613901530583,2.5274781279575813,1.14247969792168,2.281909704208374
Ag-aSi,exp2,60,1,585.696330829367,0.0022200447151499974,2.4658283023543377,0.6182861174239673,2.4770665168762207
Ag-aSi,exp2,60,2,585.8461808293678,0.002220826008267303,1.222593321924667,0.2799020575521909,2.458000421524048
Ag-aSi,exp2,60,3,668.7837308293656,0.002417266280794355,2.2609359772452415,0.45939507072908636,2.413130521774292
Ag-aSi,exp2,60,4,586.7266808293664,0.002199312387113781,1.873817084276335,0.4713777328144313,2.3494324684143066
Ag-aSi,exp2,60,5,595.0192808293648,0.0022610507866019304,1.4290750435811477,0.4050657862860394,2.524343252182007
Ag-aSi,exp2,70,1,671.2113609675918,0.0022786060226522896,2.2499081648740056,0.45787848637767525,2.5258259773254395
Ag-aSi,exp2,70,2,587.8607109675924,0.0022065302985312075,2.4655367395568724,0.6175910424141737,2.5173983573913574
Ag-aSi,exp2,70,3,591.1589109675932,0.0022451594984507985,1.2317787365505326,0.28898722706398905,2.5820486545562744
Ag-aSi,exp2,70,4,671.7285609675902,0.0022497829611718423,1.6959351526548958,0.7966470339845175,2.545374631881714
Ag-aSi,exp2,70,5,591.5615109675953,0.0022269702310507068,1.2455450303481375,0.3183568693002825,2.4585371017456055
Ag-aSi,exp2,80,1,663.9966911058191,0.002308138871652482,1.2513829618556505,0.31145133418920756,2.674959897994995
Ag-aSi,exp2,80,2,586.6016411058202,0.0022254092697693785,1.222742034509919,0.28200313856805703,2.6924214363098145
Ag-aSi,exp2,80,3,589.371541105822,0.002222384825652931,2.464885235709784,0.6173382822391504,2.755009651184082
Ag-aSi,exp2,80,4,594.0936911058214,0.0022588782400680477,1.2392990597283313,0.3083887335264546,2.6815810203552246
Ag-aSi,exp2,80,5,660.3399911058181,0.002342418178600028,1.23967424225592,0.30976320336111307,2.7164547443389893
Ag-aSi,exp2,90,1,658.498471244045,0.00230271870042988,1.2855911961920234,0.32394576359031246,2.889097213745117
Ag-aSi,exp2,90,2,594.5432712440471,0.0022567236202900016,1.2301286701184624,0.2759404751185497,2.888805389404297
Ag-aSi,exp2,90,3,586.6016712440497,0.00222549444377804,1.222742034509919,0.28200313856805703,2.8689348697662354
Ag-aSi,exp2,90,4,591.5926212440493,0.0022256038777693906,2.480548448764432,1.1426361205199702,2.9082400798797607
Ag-aSi,exp2,90,5,602.3882712440472,0.0022610636678417847,2.2482686486132297,0.4616856898093134,2.826627016067505
AlOx-HfO2,exp1,100,1,75.56180138227693,0.04061548775647772,3.8576175631139553,0.7702090351848305,3.3110499382019043
